,title,price,bedrooms,link,area,furnished,log_price,log_bedrooms,link,latitude,longitude,address,rent_period,pets_cat,pets_dog,laundry,parking,no_smoking,air_conditioning
101,"enjoy spectacular views from your beautiful 885 sq ft, 2 br, 1.5 ba",1925,2.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-enjoy-spectacular-views-from/7825301216.html,missing,missing,7.562681246721884,0.6931471805599453,,,,,,,,,,,
102,"$2,200 / 2br --,1100ft- 2 bath condo (reston)",2200,2.0,https://washingtondc.craigslist.org/nva/apa/d/reston-br-ft-bath-condo-reston/7825304922.html,missing,missing,7.696212639346407,0.6931471805599453,,,,,,,,,,,
103,charming 1 bedroom condo in prime falls church location water included,2100,1.0,https://washingtondc.craigslist.org/nva/apa/d/falls-church-charming-bedroom-condo-in/7825290750.html,missing,missing,7.649692623711514,0.0,,,,,,,,,,,
104,basement for rent,1700,,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-basement-for-rent/7825304567.html,missing,missing,7.438383530044307,,,,,,,,,,,,
105,"1/bd 1/ba, reserved parking, situated in alexandria!",2018,1.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-bd-ba-reserved-parking/7824160890.html,missing,missing,7.609862200913554,0.0,,,,,,,,,,,
106,"in alexandria, dishwasher, 2 bed",1947,2.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-in-alexandria-dishwasher-bed/7824161361.html,missing,missing,7.5740450053721995,0.6931471805599453,,,,,,,,,,,
107,"washer and dryer in home, playground, pantry",2115,,https://washingtondc.craigslist.org/nva/apa/d/ashburn-washer-and-dryer-in-home/7822534806.html,missing,missing,7.656810091480378,,,,,,,,,,,,
108,location matters! discover 3 bed/2 bath in woodbridge's core.,1999,3.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-location-matters-discover/7825301241.html,missing,missing,7.6004023345004,1.0986122886681098,,,,,,,,,,,
109,"a deal this good doesn't come around every day. 2 bed, 1.5 bath!",1675,2.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-deal-this-good-doesnt-come/7825301182.html,missing,missing,7.423568444259167,0.6931471805599453,,,,,,,,,,,
110,"gorgeous light filled 700 sq ft, 1 bed, 1 bath with beautiful view!",1629,1.0,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-gorgeous-light-filled-700-sq/7825301160.html,missing,missing,7.395721608602045,0.0,,,,,,,,,,,
111,master suite in herndon townhome (10 min to iad),1350,,https://washingtondc.craigslist.org/nva/apa/d/herndon-master-suite-in-herndon/7825301017.html,herndon,missing,7.2078598714324755,,,,,,,,,,,,
112,1 room w bath in herndon townhome (10 min to iad),1050,,https://washingtondc.craigslist.org/nva/apa/d/herndon-room-bath-in-herndon-townhome/7825300998.html,herndon,missing,6.956545443151569,,,,,,,,,,,,
113,"bring your ""furry family!"" we're animal friendly!",2231,,https://washingtondc.craigslist.org/nva/apa/d/manassas-bring-your-furry-family-were/7825299412.html,missing,missing,7.7102051944325325,,,,,,,,,,,,
